Описание,Решение,label
"№ 57 маршрут, на остановке Нурлы Жол в направлении города  водитель табличку с нумерацией включил и уехал, т.е не посадил пассажиров. Время 06-00.",,0
"14 м/а с 6:00-6:31 нету автобуса с Нурлы жол в направлении города ,столько людей ждут стоят!",,0
06:00-06:35 аралығында «Ақ-Жайық» ТД аялдамасы «Тұлпар» сауда орталығының аялдамасы бағытында МА 22 автобусы болған жоқ.,,0
"№2,13,32, 49, 50,73 Балбала аялдамасы  Көктал ТК бағытыңа қарай  сағат 06-20 пен 06-52 кеткенге дейің желіде болмады.",,0
"№ 18 бағдар , мем/нөмір  862 . Медицинский центр аялдамасынаң  Дом Министерств бағытыңа қарай , сағат 07-05 кеткенде алдыңғы есікті ашпады , шығуға дайындалап тұрдым .",,0
"Маршрут №51 не было автобуса с 06:55-07:30 с остановки ЖК ""Орман парк"" в направлении остановки Городская больница №2.",,0
"маршрут №58 продлили до ул. Карасай батыра, этот маршрут с ул.  Кенжебека Кумисбекова  как раз едет, именно в эту сторону маршруты не едут и мы постоянно пересадкой едем, если куда надо.",,1
м/а-16 ост. Шара Жиенкулова  в сторону  Коктал  время  07.00-08.04  до сих  пор нет автобуса  сколько можно ждать.,,0
"Бақылаушыға шағым м/а 44 мемлекеттік бөлме584 аялдамада Құдайбердіұлы даңғылы бағытына Жұмабаев даңғылы жүргізуші есікті артқы жағына ашпады , мен алдыңғы есікке жүгірдім, бақылаушы сол жерге кіріп, кідірді ашпады. Мен сөйлей бастадым және айқайлай бастадым .  Содан кейін ғана аштым мен жұмысқа кешігіп қалдым .",,0
"Жалоба  на  контролеров  проверяющею  проезд  при проверке  останавливают   маршрут  полностью  и закрывают  двери  ,  постоянно происходит на остановке  Тулпар  в направление  ЖД  Вокзала . Проверяют  и потом сразу  выходят .Почему  так  у них  происходит когда  они должны выполнять работу при движения  автобуса  во   всех  маршрутах  так  происходит . Прошу  вас принять меры  мы пассажиры  чувствуем себя не ловко  ощущение,  как будто что  украли . При этом многие  пассажиры опаздывают на  работу . При обращение  к  контролёру  отвеют просто  это моя работа .Прошу  вас  принять меры  по  поводу  моего  обращения .",,0
"4 м/а Я пришла на остановку Улица Степана Разина, в 19:00 Мне надо было поехать в направлении Улицы Валиханова Я стояла на данной остановке до 20:00 Этот инцидент произошел вчера 01.02.25 Я смотрела по карте ехали несколько автобусов, но данных автобусов я не видела как они проезжают на данной остановке. Прошу принять меры по данному поводу.",,0
ост.КАЗГЮА в сторону  Керуен Сити не работает информационное табло.,,0
"МА4. код 10849. Время 10.03. С остановки Целинный в сторону Тулпар. Сотрудник Ешкенова зашла с проверкой оплаты, остановила автобус и начала в грубой форме обращаться к пассажирам, чуть ли не кидаться на всех. Не соблюдают этику и не ведут себя как положено. И почему останавливают автобус? Примите меры.",,0
11-бағыт _x000D_ 9/30-10/13 аралығында автобус жоқ_x000D_ №3 автобус саябағы аялдамасында_x000D_ Абылай хан даңғылы бағытында,,0
"Бүгін 02.02.25 м / а 308 мемлекеттік нөмір 241CJ01 шамамен уақыт 10.08. Мен Алау Мұз сарайы аялдамада тұрдым  Қызылжар ауылының аялдамасы бағытында 308 автобустың алдында тағы екі автобус тұрды, сол автобустар кетіп қалды 308 тіпті аялдамаға жетпей бірден кетіп қалды.",,0
 308 маршрут  г/номер 241 СJ 01Остановка  Алау в сторону Косщы. Время10:08 .Проезд  остановки не заехаел даже.,,0
Маршрут №14  не было автобуса с 09:30-10:30 с остановки  Театр  в направлении остановки  ТЦ Евразия._x000D_ _x000D_,,0
"Бүгін 02.02.25 Астана ЭКСПО аялдамасына Масаты аялдамасы бағытында 09.55 - те келдім, 43 автобус әлі жоқ, қазір 10.37. Шара қабылдауыңызды сұраймын.",,0
"Маршрут 60, 11794, 10.37 остановка  Сауран направление Ботанический сад .Контролер  зашла все заблокировала на три минуты задержала рейс. И проверяла , имеют ли право. Контролер сказала что имеет право. Жду ответа. Срочно.",,0
"5, 5а Я пришел на остановку Улица Ардагерлер, в 10:55 Мне надо поехать в направлении остановки Улица Куляш Байсеитовой. Сейчас время 11:22, за это время ни одного автобуса не было.",,0
"Маршрут 30 , время 10.40--11.21. остановка Гребной канал направление Тауелсыздык. Ожидает 40 минут.",,0
Маршрут № 33 Агротехникалық университет аялдамадан Агроқалашық бағытында 11:37-12:03 аралығында автобус болған жоқ.,,0
Маршрут №43 не было автобуса с 11:20-12:17с остановки  Микрорайон Отау   в направлении остановки   Астана ЭКСПО.,,0
"М/а  43 ост. пункт м-он Отау направление ЖК Гранд Астана,   время ожидания 11:15-12:20.",,0
"51 автобус ,время 12:32 , остановка ТРЦ Азия Парк в сторону Ануар , кюаркод 14232 ,водитель не ответил мне на языке обращение на мои вопрос ,вопрос был по поводу маршрута ,так как в данном маршруте отсутствовал нумерация маршрута ,вопрос был задан три раза ,требую провести беседу с водителем по данному обращению",,0
"16 автобус ,аялдама 19 орта мектеп бағыт СҮ Рахмет ,уақыт 12:20-12:56 күту уақыты 36 минут хабарласқанға дейін , автобус келмеді",,0
"М/а 61, гос. № 834CU01, в 12:46 на ост. пункт школа Бином направление Ч. Айтматова автобус подъехал высадил и сделал разворот, не выехал еще на дорогу и пассажир подбежал к дверям постучал, но водитель не открыв двери уехал. Не в первый раз так делают водители, почему водители так себя ведут. Примите меры.",,0
м/а-71 г/н 863 ост. Ордабасы  в сторону в сторону Города  время  06.20   30.01.2025  проехал остановку не остановился из-за него на работе получили выговор.,,0
"Просит   водитель  м/а  14     говорит , что пассажиров   не  оплачивают  проезд  на  конечной   остановке ЖК Эльбрус   едут  одну остановку  ЖК Томирис     . Водитель просит  чтобы  отменили  по схеме  движения  остановку   ЖК Томирис.На  прямой  ехали  на  остановку  Ж/д вокзал Нурлы жол.Все  жители   не   оплачивают    проезд  едут с пересадкой  на  маршрут 11,21,48._x000D_ _x000D_ _x000D_",,0
Бүгін 02.02.25 Алматы КК аялдама бағыты бойынша Бахус СО аялдамасында сағат 13.10-дан 13.58-ге дейін 33 автобус күтіп тұрдым. Шара қабылдауды және осы бағытты бақылауға алуды сұраймын.,,0
"М/а 52, QR автобуса 10617,  время 14:00ч подъезжают к ост. ТД Тулпар с стороны  пр Республики, жалуется на агрессивное вождение, на несоблюдение скоростного режима, на улице скользко, он везет людей без ответственный водитель, просит принять меры.",,0
3 раза сняли оплату Город Астана 49 маршрут,,0
"501 М/а, 976 гос номер Я пришли на остановку Ақан сері к-сі, 14:00 Нам надо было поехать на остановку 150 лет Абая Автобус проехал мимо остановки в 14:25. Прошу принять меры по данному поводу.",,0
